# idx_orig bit_orig post_llr hard
227 0 -26125.34179539 0
228 0 -24583.85372819 0
229 1 26483.44807367 1
230 0 -12281.27724798 0
231 1 27623.33255738 1
232 0 -24885.81459158 0
233 1 26581.97549065 1
234 1 29416.11598029 1
235 1 26098.12247416 1
236 0 -27641.07513997 0
237 1 17846.28446405 1
238 0 -24597.72724817 0
239 1 25049.48778006 1
240 1 22795.44562665 1
241 0 -22913.64096910 0
242 0 -28372.09302279 0
243 1 27450.82448065 1
244 0 -18376.45251729 0
245 0 -25014.04285578 0
246 1 28190.97946126 1
247 1 22579.68197136 1
248 1 28995.09958205 1
249 1 28184.62474239 1
250 1 28677.14971436 1
251 1 14124.00195098 1
252 1 27475.30254076 1
253 0 -30023.43767620 0
254 0 -28958.26356193 0
255 1 31184.38803800 1
256 0 -31409.43362042 0
257 0 -23666.60328341 0
258 0 -15286.96904305 0
259 1 26197.50279043 1
260 1 31941.20200949 1
261 1 35352.87524959 1
262 1 38406.79385799 1
263 0 -30560.24426618 0
264 1 29536.37533581 1
265 1 25106.41595961 1
266 0 -31139.17633372 0
267 0 -32742.53707910 0
268 0 -31283.87871770 0
269 1 36924.15587313 1
270 1 30331.17322564 1
271 1 36413.82744134 1
272 0 -24699.45810376 0
273 0 -32817.75520785 0
274 1 31711.97848814 1
275 0 -32828.79956374 0
276 1 24812.04343035 1
277 0 -24390.37662019 0
278 0 -25897.08955481 0
279 0 -25566.27342487 0
280 0 -26854.44229488 0
281 1 28696.05513753 1
282 0 -26727.08743937 0
283 0 -29947.68297059 0
284 1 21236.92308513 1
285 0 -21381.07086939 0
286 0 -19310.46769619 0
287 0 -28990.65893571 0
288 0 -29892.35185053 0
289 0 -31069.76077268 0
290 0 -24593.62631023 0
291 0 -26953.64859583 0
292 0 -23817.66758548 0
293 0 -15797.45579816 0
294 1 29327.96913374 1
295 0 -28022.06054593 0
296 1 27157.06414693 1
297 1 20948.93876317 1
298 1 22262.65339112 1
299 1 27919.26584012 1
300 1 15525.30097782 1
301 0 -30007.91190820 0
302 0 -22495.46982986 0
303 0 -38722.69336077 0
304 1 23276.57122859 1
305 1 29090.35576088 1
306 0 -31362.83059432 0
307 1 19957.90923308 1
308 0 -29202.99975015 0
309 0 -24213.14710520 0
310 0 -32884.51777529 0
311 0 -28495.01946575 0
312 0 -28239.38073799 0
313 0 -35991.05472647 0
314 1 22157.71933640 1
315 0 -29988.04792589 0
316 1 27155.05231594 1
317 0 -31482.36583092 0
318 1 34522.06906274 1
319 0 -31736.40274570 0
320 0 -28991.46694231 0
321 1 28393.76793083 1
322 0 -28413.61256714 0
323 0 -26785.90357083 0
324 1 34825.55608197 1
325 1 26250.98395239 1
326 0 -33459.72927570 0
327 0 -28329.32940479 0
328 0 -27489.05337983 0
329 0 -26395.13281760 0
330 0 -22419.27726796 0
331 0 -30553.51954764 0
332 1 34606.82350051 1
333 0 -29342.19491874 0
334 0 -31872.19216772 0
335 0 -23080.69516465 0
336 0 -24692.72050516 0
337 0 -25794.47134251 0
338 0 -30036.04622269 0
339 0 -23760.33913987 0
340 0 -31510.96070762 0
341 1 32825.19929103 1
342 1 21145.45090837 1
343 0 -29552.66830821 0
344 1 22933.24412841 1
345 1 33609.33378068 1
346 0 -19721.90957458 0
347 0 -29067.75609854 0
348 0 -26334.41187473 0
349 1 23038.64210602 1
350 0 -20097.74129593 0
351 0 -16053.55909930 0
352 0 -25691.27961374 0
353 0 -16702.85228760 0
354 0 -24568.81063772 0
355 1 20055.04144688 1
